"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 08 11:36:16 GMT 2023","Wed Nov 08 11:36:16 GMT 2023","2","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","testSetup","testSetup",""
"skipped","Wed Nov 08 11:36:16 GMT 2023","Wed Nov 08 11:36:16 GMT 2023","0","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","chnageQuantityAndCheckPrice","chnageQuantityAndCheckPrice",""
"skipped","Wed Nov 08 11:36:16 GMT 2023","Wed Nov 08 11:36:16 GMT 2023","0","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","verifyItemInfoBetweenDetailsAndCart","verifyItemInfoBetweenDetailsAndCart",""
"skipped","Wed Nov 08 11:36:16 GMT 2023","Wed Nov 08 11:36:16 GMT 2023","3","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","onboardingTest","onboardingTest",""
"skipped","Wed Nov 08 11:36:16 GMT 2023","Wed Nov 08 11:36:16 GMT 2023","1","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","addRandomItemToShoppingCart","addRandomItemToShoppingCart",""
