"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 08 16:35:54 GMT 2023","Wed Nov 08 16:35:54 GMT 2023","1","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","chnageQuantityAndCheckPrice","chnageQuantityAndCheckPrice",""
"skipped","Wed Nov 08 16:35:54 GMT 2023","Wed Nov 08 16:35:54 GMT 2023","1","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","addRandomItemToShoppingCart","addRandomItemToShoppingCart",""
"broken","Wed Nov 08 16:35:53 GMT 2023","Wed Nov 08 16:35:53 GMT 2023","3","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","testSetup","testSetup",""
"skipped","Wed Nov 08 16:35:54 GMT 2023","Wed Nov 08 16:35:54 GMT 2023","1","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","verifyItemInfoBetweenDetailsAndCart","verifyItemInfoBetweenDetailsAndCart",""
"skipped","Wed Nov 08 16:35:54 GMT 2023","Wed Nov 08 16:35:54 GMT 2023","2","OS Dependant TestSuite","OS Dependant Test","tests.ShoppingCart","tests.ShoppingCart","onboardingTest","onboardingTest",""
